Datum von;Datum bis;Netzlast [MWh] Berechnete Auflösungen;Netzlast inkl. Pumpspeicher [MWh] Berechnete Auflösungen;Pumpspeicher [MWh] Berechnete Auflösungen;Residuallast [MWh] Berechnete Auflösungen
01.01.2024 00:00;01.01.2024 01:00;40.170,25;42.193,50;2.023,25;4.904,00
01.01.2024 01:00;01.01.2024 02:00;38.818,25;41.342,25;2.524,00;3.976,50
01.01.2024 02:00;01.01.2024 03:00;37.847,75;40.899,25;3.051,50;3.082,75
01.01.2024 03:00;01.01.2024 04:00;37.123,25;40.216,25;3.093,00;3.408,25
01.01.2024 04:00;01.01.2024 05:00;36.753,75;40.034,00;3.280,25;3.341,50
01.01.2024 05:00;01.01.2024 06:00;37.051,25;40.512,75;3.461,50;3.326,50
01.01.2024 06:00;01.01.2024 07:00;36.725,50;40.383,75;3.658,25;3.353,75
01.01.2024 07:00;01.01.2024 08:00;37.321,00;40.162,00;2.841,00;3.747,75
01.01.2024 08:00;01.01.2024 09:00;37.984,25;40.758,00;2.773,75;3.356,50
01.01.2024 09:00;01.01.2024 10:00;39.952,00;43.642,25;3.690,25;3.062,75
01.01.2024 10:00;01.01.2024 11:00;42.309,25;46.119,75;3.810,50;2.181,50
01.01.2024 11:00;01.01.2024 12:00;44.829,25;48.232,00;3.402,75;2.853,25
01.01.2024 12:00;01.01.2024 13:00;45.824,00;48.755,00;2.931,00;4.349,75
01.01.2024 13:00;01.01.2024 14:00;45.251,75;48.032,75;2.781,00;5.836,50
01.01.2024 14:00;01.01.2024 15:00;44.904,50;46.003,50;1.099,00;8.892,50
01.01.2024 15:00;01.01.2024 16:00;44.952,25;45.455,75;503,50;12.283,00
01.01.2024 16:00;01.01.2024 17:00;46.881,25;47.007,25;126,00;15.187,50
01.01.2024 17:00;01.01.2024 18:00;50.120,50;50.132,00;11,50;17.679,00
01.01.2024 18:00;01.01.2024 19:00;50.199,50;50.208,50;9,00;18.671,50
01.01.2024 19:00;01.01.2024 20:00;49.118,25;49.156,25;38,00;18.121,25
01.01.2024 20:00;01.01.2024 21:00;47.071,75;47.162,00;90,25;16.927,50
01.01.2024 21:00;01.01.2024 22:00;45.149,00;45.321,50;172,50;16.124,25
01.01.2024 22:00;01.01.2024 23:00;43.664,25;44.521,25;857,00;16.140,00
01.01.2024 23:00;02.01.2024 00:00;41.057,25;42.759,00;1.701,75;15.462,75
02.01.2024 00:00;02.01.2024 01:00;38.390,00;40.043,00;1.653,00;13.921,75
02.01.2024 01:00;02.01.2024 02:00;37.078,00;39.408,50;2.330,50;13.394,50
02.01.2024 02:00;02.01.2024 03:00;37.041,75;40.119,75;3.078,00;13.525,25
02.01.2024 03:00;02.01.2024 04:00;37.358,25;41.095,25;3.737,00;12.332,75
02.01.2024 04:00;02.01.2024 05:00;39.412,25;43.014,25;3.602,00;11.956,50
02.01.2024 05:00;02.01.2024 06:00;42.454,00;45.248,00;2.794,00;12.178,00
02.01.2024 06:00;02.01.2024 07:00;47.726,00;49.481,25;1.755,25;14.380,75
02.01.2024 07:00;02.01.2024 08:00;52.564,75;53.300,75;736,00;17.516,50
02.01.2024 08:00;02.01.2024 09:00;56.047,50;56.140,75;93,25;19.948,50
02.01.2024 09:00;02.01.2024 10:00;57.931,50;57.935,50;4,00;21.559,25
02.01.2024 10:00;02.01.2024 11:00;59.509,50;59.521,75;12,25;22.449,75
02.01.2024 11:00;02.01.2024 12:00;60.929,50;61.010,50;81,00;25.408,50
02.01.2024 12:00;02.01.2024 13:00;61.269,75;61.271,75;2,00;26.918,00
02.01.2024 13:00;02.01.2024 14:00;60.607,00;60.609,25;2,25;27.490,75
02.01.2024 14:00;02.01.2024 15:00;59.705,00;59.707,25;2,25;28.268,00
02.01.2024 15:00;02.01.2024 16:00;60.067,00;60.067,50;0,50;29.304,50
02.01.2024 16:00;02.01.2024 17:00;61.427,00;61.428,00;1,00;28.931,50
02.01.2024 17:00;02.01.2024 18:00;63.376,75;63.379,25;2,50;27.601,00
02.01.2024 18:00;02.01.2024 19:00;63.072,00;63.127,50;55,50;24.519,75
02.01.2024 19:00;02.01.2024 20:00;61.214,75;61.502,50;287,75;20.176,75
02.01.2024 20:00;02.01.2024 21:00;58.093,50;58.960,50;867,00;15.613,25
02.01.2024 21:00;02.01.2024 22:00;54.777,75;56.195,00;1.417,25;11.166,50
02.01.2024 22:00;02.01.2024 23:00;52.006,25;54.024,75;2.018,50;8.774,75
02.01.2024 23:00;03.01.2024 00:00;49.067,50;51.728,25;2.660,75;5.739,75
03.01.2024 00:00;03.01.2024 01:00;46.137,50;49.821,50;3.684,00;5.469,00
03.01.2024 01:00;03.01.2024 02:00;44.335,25;48.719,00;4.383,75;4.225,25
03.01.2024 02:00;03.01.2024 03:00;43.294,75;47.742,25;4.447,50;2.874,00
03.01.2024 03:00;03.01.2024 04:00;43.656,25;48.305,75;4.649,50;3.290,00
03.01.2024 04:00;03.01.2024 05:00;45.081,75;49.750,75;4.669,00;3.881,50
03.01.2024 05:00;03.01.2024 06:00;47.957,50;52.540,50;4.583,00;5.882,50
03.01.2024 06:00;03.01.2024 07:00;53.736,25;57.184,00;3.447,75;6.764,75
03.01.2024 07:00;03.01.2024 08:00;58.238,50;59.264,00;1.025,50;10.119,25
03.01.2024 08:00;03.01.2024 09:00;60.985,00;61.173,00;188,00;13.153,00
03.01.2024 09:00;03.01.2024 10:00;62.279,00;62.329,75;50,75;13.125,00
03.01.2024 10:00;03.01.2024 11:00;63.084,75;63.687,75;603,00;11.025,50
03.01.2024 11:00;03.01.2024 12:00;64.448,00;65.449,50;1.001,50;10.784,75
03.01.2024 12:00;03.01.2024 13:00;64.460,75;65.233,50;772,75;10.976,75
03.01.2024 13:00;03.01.2024 14:00;63.089,25;63.912,00;822,75;11.119,75
03.01.2024 14:00;03.01.2024 15:00;61.937,75;62.655,00;717,25;13.096,00
03.01.2024 15:00;03.01.2024 16:00;61.490,25;62.075,50;585,25;17.215,00
03.01.2024 16:00;03.01.2024 17:00;62.105,50;62.170,25;64,75;21.250,75
03.01.2024 17:00;03.01.2024 18:00;64.559,00;64.587,75;28,75;25.825,00
03.01.2024 18:00;03.01.2024 19:00;64.586,50;64.591,00;4,50;27.322,00
03.01.2024 19:00;03.01.2024 20:00;62.472,25;62.483,75;11,50;26.519,50
03.01.2024 20:00;03.01.2024 21:00;58.666,50;58.766,25;99,75;23.607,25
03.01.2024 21:00;03.01.2024 22:00;55.714,00;55.957,50;243,50;20.921,25
03.01.2024 22:00;03.01.2024 23:00;52.734,75;53.202,75;468,00;19.015,25
03.01.2024 23:00;04.01.2024 00:00;48.999,50;49.830,75;831,25;14.818,75
04.01.2024 00:00;04.01.2024 01:00;46.366,00;49.173,25;2.807,25;11.643,50
04.01.2024 01:00;04.01.2024 02:00;45.278,25;49.568,25;4.290,00;9.810,25
04.01.2024 02:00;04.01.2024 03:00;44.642,50;49.598,50;4.956,00;8.093,50
04.01.2024 03:00;04.01.2024 04:00;45.027,25;50.014,00;4.986,75;8.010,75
04.01.2024 04:00;04.01.2024 05:00;46.279,75;50.838,00;4.558,25;8.796,00
04.01.2024 05:00;04.01.2024 06:00;48.751,50;52.370,00;3.618,50;10.824,75
04.01.2024 06:00;04.01.2024 07:00;53.684,00;55.115,25;1.431,25;16.465,00
04.01.2024 07:00;04.01.2024 08:00;59.303,50;59.583,25;279,75;23.302,25
04.01.2024 08:00;04.01.2024 09:00;62.947,25;63.099,00;151,75;28.355,25
04.01.2024 09:00;04.01.2024 10:00;64.255,00;64.448,25;193,25;29.909,50
04.01.2024 10:00;04.01.2024 11:00;65.365,00;66.011,75;646,75;30.417,75
04.01.2024 11:00;04.01.2024 12:00;65.554,75;65.585,75;31,00;31.090,75
04.01.2024 12:00;04.01.2024 13:00;65.594,50;65.604,00;9,50;33.004,50
04.01.2024 13:00;04.01.2024 14:00;64.722,75;64.911,25;188,50;35.264,75
04.01.2024 14:00;04.01.2024 15:00;63.715,00;63.894,00;179,00;38.642,25
04.01.2024 15:00;04.01.2024 16:00;63.035,00;63.134,50;99,50;42.967,75
04.01.2024 16:00;04.01.2024 17:00;63.827,50;63.907,75;80,25;47.997,75
04.01.2024 17:00;04.01.2024 18:00;65.704,50;65.709,50;5,00;52.780,50
04.01.2024 18:00;04.01.2024 19:00;64.839,75;64.840,25;0,50;54.383,75
04.01.2024 19:00;04.01.2024 20:00;63.362,75;63.477,25;114,50;54.228,25
04.01.2024 20:00;04.01.2024 21:00;59.665,50;59.735,00;69,50;50.720,50
04.01.2024 21:00;04.01.2024 22:00;56.429,75;56.693,25;263,50;47.626,00
04.01.2024 22:00;04.01.2024 23:00;53.468,75;53.643,75;175,00;43.654,00
04.01.2024 23:00;05.01.2024 00:00;50.083,00;50.490,50;407,50;39.608,25
05.01.2024 00:00;05.01.2024 01:00;46.882,75;47.374,50;491,75;34.882,50
05.01.2024 01:00;05.01.2024 02:00;45.242,00;46.433,50;1.191,50;31.310,50
05.01.2024 02:00;05.01.2024 03:00;44.115,25;46.687,50;2.572,25;28.163,50
05.01.2024 03:00;05.01.2024 04:00;44.397,00;47.934,50;3.537,50;26.106,50
05.01.2024 04:00;05.01.2024 05:00;45.672,25;49.531,75;3.859,50;25.940,25
05.01.2024 05:00;05.01.2024 06:00;48.107,75;50.393,00;2.285,25;26.652,50
05.01.2024 06:00;05.01.2024 07:00;52.828,00;53.667,25;839,25;29.467,50
05.01.2024 07:00;05.01.2024 08:00;58.204,00;58.384,25;180,25;33.138,50
05.01.2024 08:00;05.01.2024 09:00;61.650,50;61.786,75;136,25;34.808,25
05.01.2024 09:00;05.01.2024 10:00;63.237,00;63.368,00;131,00;34.070,25
05.01.2024 10:00;05.01.2024 11:00;64.022,00;64.154,75;132,75;32.020,00
05.01.2024 11:00;05.01.2024 12:00;64.775,00;65.017,50;242,50;30.832,75
