name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"51.751111, 4.208611",2025-08-20T00:00:00,16.6,16.6,13.7,83.12,0,0,,0,0,31.3,17,27,1013.5,96.5,10,0,0,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T01:00:00,16.5,16.5,13.6,83.1,0,0,,0,0,31.3,14.8,23,1013.7,56.6,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T02:00:00,15.9,15.9,13.5,85.33,0,0,,0,0,23.8,14.3,25,1014,100,10,0,0,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T03:00:00,15.9,15.9,13.4,84.66,0,0,,0,0,24.5,16,27,1014,98.5,10,0,0,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T04:00:00,15.7,15.7,13.1,84.34,0,0,,0,0,22.7,11.7,37,1014,98.5,10,0,0,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T05:00:00,15.7,15.7,13,83.68,0,0,,0,0,20.9,8.9,24,1014,100,10,0,0,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T06:00:00,15.8,15.8,12.5,80.79,0,0,,0,0,19.4,10.3,31,1013.1,90.9,10,0,0,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T07:00:00,15.9,15.9,12.5,80.56,0,0,,0,0,22.3,8.8,24,1013.1,92.4,10,4,0,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T08:00:00,16.5,16.5,12.2,75.54,0,0,,0,0,27.4,9.8,19,1013.6,100,10,30,0.1,0,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
"51.751111, 4.208611",2025-08-20T09:00:00,16.8,16.8,11.9,72.5,0,0,,0,0,31.3,11.5,18,1013.5,100,9.6,57,0.2,1,10,Overcast,cloudy,"EHFS,EHRD,E7651,EHWO,EHGR"
