name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"51.751111, 4.208611",2024-01-01T00:00:00,7.9,3.2,5.6,85.3,0.136,100,rain,0,0,54.1,38.5,208,995.8,95.4,16.5,0,0,0,,"Rain, Overcast",rain,"06350099999,06340099999,E7651,06323099999,06310099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T01:00:00,7.6,2.8,5.2,85.1,1.196,100,rain,0,0,62.4,38.2,204,996.1,98.6,10.9,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06310099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T02:00:00,7.3,2.8,5.4,87.82,0.059,100,rain,0,0,46.5,33.8,208,996.1,93.9,12.2,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T03:00:00,7.4,3,5.8,89.43,0.147,100,rain,0,0,52.4,32.4,210,996.7,100,9.4,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T04:00:00,8.2,4.1,5.8,84.94,0.088,100,rain,0,0,52,31.8,218,996.9,100,15.2,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T05:00:00,8.3,4.2,5.8,84.3,0.293,100,rain,0,0,46.8,32.5,219,997.5,100,14.3,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T06:00:00,8.2,4.3,5.7,83.76,0,0,,0,0,44.1,29.6,222,998.1,100,11.6,0,0,0,,Overcast,cloudy,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T07:00:00,8.1,4.1,5.6,83.99,5.169,100,rain,0,0,58.2,30.1,230,998.7,100,15.8,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T08:00:00,8.4,4.7,5.3,80.58,0.587,100,rain,0,0,37,28,233,999.7,100,22.6,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T09:00:00,8,4.3,5.2,82.55,0.633,100,rain,0,0,46.2,25.7,245,1001.3,100,13.9,0,0,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06310099999,06344099999"
"51.751111, 4.208611",2024-01-01T10:00:00,8.5,4.5,5,78.4,0.059,100,rain,0,0,42.9,32.1,248,1001.9,100,28.4,16,0.1,0,,"Rain, Overcast",rain,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T11:00:00,8.9,5.1,4.9,75.74,0,0,,0,0,43.3,31.5,251,1002.8,75.5,22.6,42,0.2,0,,Partially cloudy,partly-cloudy-day,"06340099999,E7651,06323099999,06330099999,06344099999"
"51.751111, 4.208611",2024-01-01T12:00:00,9.2,5.4,4.7,73.88,0,0,,0,0,40.9,31.7,248,1003.3,65.5,21.8,65,0.2,1,,Partially cloudy,partly-cloudy-day,"06340099999,E7651,06323099999,06330099999,06344099999"
